,title,abstract,journal,link,category
122,Happy family of stable marriages,"Some aspects of the problem of stable marriage are discussed. There are two
distinguished marriage plans: the fully transferable case, where money can be
transferred between the participants, and the fully non transferable case where
each participant has its own rigid preference list regarding the other gender.
We continue to discuss intermediate partial transferable cases. Partial
transferable plans can be approached as either special cases of cooperative
games using the notion of a core, or as a generalization of the cyclical
monotonicity property of the fully transferable case (fake promises). We shall
introduced these two approaches, and prove the existence of stable marriage for
the fully transferable and non-transferable plans.",Ecological Economics,http://arxiv.org/abs/1805.06687v1,econ.GN
152,"Determining Fundamental Supply and Demand Curves in a Wholesale
  Electricity Market","In this paper we develop a novel method of wholesale electricity market
modeling. Our optimization-based model decomposes wholesale supply and demand
curves into buy and sell orders of individual market participants. In doing so,
the model detects and removes arbitrage orders. As a result, we construct an
innovative fundamental model of a wholesale electricity market. First, our
fundamental demand curve has a unique composition. The demand curve lies in
between the wholesale demand curve and a perfectly inelastic demand curve.
Second, our fundamental supply and demand curves contain only actual (i.e.
non-arbitrage) transactions with physical assets on buy and sell sides. Third,
these transactions are designated to one of the three groups of wholesale
electricity market participants: retailers, suppliers, or utility companies. To
evaluate the performance of our model, we use the German wholesale market data.
Our fundamental model yields a more precise approximation of the actual load
values than a model with perfectly inelastic demand. Moreover, we conduct a
study of wholesale demand elasticities. The obtained conclusions regarding
wholesale demand elasticity are consistent with the existing academic
literature.",Ecological Economics ,http://arxiv.org/abs/1903.11383v2,econ.GN
465,"A New Solution to Market Definition: An Approach Based on
  Multi-dimensional Substitutability Statistics","Market definition is an important component in the premerger investigation,
but the models used in the market definition have not developed much in the
past three decades since the Critical Loss Analysis (CLA) was proposed in 1989.
The CLA helps the Hypothetical Monopolist Test to determine whether the
hypothetical monopolist is going to profit from the small but significant and
non-transitory increase in price (SSNIP). However, the CLA has long been
criticized by academic scholars for its tendency to conclude a narrow market.
Although the CLA was adopted by the 2010 Horizontal Merger Guidelines (the 2010
Guidelines), the criticisms are likely still valid. In this dissertation, we
discussed the mathematical deduction of CLA, the data used, and the SSNIP
defined by the Agencies. Based on our research, we concluded that the narrow
market conclusion was due to the incorrect implementation of the CLA; not the
model itself. On the other hand, there are other unresolvable problems in the
CLA and the Hypothetical Monopolist Test. The SSNIP test and the CLA are bright
resolutions for market definition problem during their time, but we have more
advanced tools to solve the task nowadays. In this dissertation, we propose a
model which is based directly on the multi-dimensional substitutability between
the products and is capable of maximizing the substitutability of product
features within each group. Since the 2010 Guidelines does not exclude the use
of models other than the ones mentioned by the Guidelines, our method can
hopefully supplement the current models to show a better picture of the
substitutive relations and provide a more stable definition of the market.",Ecological Economics ,http://arxiv.org/abs/1906.10030v1,econ.EM
518,Extractive contest design,"We consider contest success functions (CSFs) that extract contestants' values
of the prize. In the case in which the values are observable to the contest
designer, in the more-than-two-contestant or common-value subcase, we present a
CSF extractive in any equilibrium; in the other subcase, we present a CSF
extractive in some equilibrium, but there exists no CSF extractive in any
equilibrium. In the case in which the values are not observable, there exists
no CSF extractive in some equilibrium. In the case in which the values are
observable and common, we present extractive a CSF extractive in any
equilibrium; we present a class of CSFs extractive in some equilibrium, and
this class can control the number of active contestants.",Ecological Economics ,http://arxiv.org/abs/2006.01808v2,econ.EM
188,Many Average Partial Effects: with An Application to Text Regression,"We study estimation, pointwise and simultaneous inference, and confidence
intervals for many average partial effects of lasso Logit. Focusing on
high-dimensional, cluster-sampling environments, we propose a new average
partial effect estimator and explore its asymptotic properties. Practical
penalty choices compatible with our asymptotic theory are also provided. The
proposed estimator allow for valid inference without requiring oracle property.
We provide easy-to-implement algorithms for cluster-robust high-dimensional
hypothesis testing and construction of simultaneously valid confidence
intervals using a multiplier cluster bootstrap. We apply the proposed
algorithms to the text regression model of Wu (2018) to examine the presence of
gendered language on the internet.",Econometric Reviews ,http://arxiv.org/abs/1812.09397v5,econ.EM
597,Equilibrium Behaviors in Repeated Games,"We examine a patient player's behavior when he can build reputations in front
of a sequence of myopic opponents. With positive probability, the patient
player is a commitment type who plays his Stackelberg action in every period.
We characterize the patient player's action frequencies in equilibrium. Our
results clarify the extent to which reputations can refine the patient player's
behavior and provide new insights to entry deterrence, business transactions,
and capital taxation. Our proof makes a methodological contribution by
establishing a new concentration inequality.",Econometric Reviews ,http://arxiv.org/abs/2007.14002v4,stat.ML
176,"Flexible shrinkage in high-dimensional Bayesian spatial autoregressive
  models","This article introduces two absolutely continuous global-local shrinkage
priors to enable stochastic variable selection in the context of
high-dimensional matrix exponential spatial specifications. Existing approaches
as a means to dealing with overparameterization problems in spatial
autoregressive specifications typically rely on computationally demanding
Bayesian model-averaging techniques. The proposed shrinkage priors can be
implemented using Markov chain Monte Carlo methods in a flexible and efficient
way. A simulation study is conducted to evaluate the performance of each of the
shrinkage priors. Results suggest that they perform particularly well in
high-dimensional environments, especially when the number of parameters to
estimate exceeds the number of observations. For an empirical illustration we
use pan-European regional economic growth data.",Econometric Theory ,http://arxiv.org/abs/1805.10822v1,econ.EM
50,Dynamic Random Subjective Expected Utility,"Dynamic Random Subjective Expected Utility (DR-SEU) allows to model choice
data observed from an agent or a population of agents whose beliefs about
objective payoff-relevant states and tastes can both evolve stochastically. Our
observable, the augmented Stochastic Choice Function (aSCF) allows, in contrast
to previous work in decision theory, for a direct test of whether the agent's
beliefs reflect the true data-generating process conditional on their private
information as well as identification of the possibly incorrect beliefs. We
give an axiomatic characterization of when an agent satisfies the model, both
in a static as well as in a dynamic setting. We look at the case when the agent
has correct beliefs about the evolution of objective states as well as at the
case when her beliefs are incorrect but unforeseen contingencies are
impossible.
  We also distinguish two subvariants of the dynamic model which coincide in
the static setting: Evolving SEU, where a sophisticated agent's utility evolves
according to a Bellman equation and Gradual Learning, where the agent is
learning about her taste. We prove easy and natural comparative statics results
on the degree of belief incorrectness as well as on the speed of learning about
taste.
  Auxiliary results contained in the online appendix extend previous decision
theory work in the menu choice and stochastic choice literature from a
technical as well as a conceptual perspective.",Econometrica,http://arxiv.org/abs/1808.00296v1,econ.GN
155,"Dark Markets with Multiple Assets: Segmentation, Asymptotic Stability,
  and Equilibrium Prices","We study a generalization of the model of a dark market due to
Duffie-G\^arleanu- Pedersen [6]. Our market is segmented and involves multiple
assets. We show that this market has a unique asymptotically stable
equilibrium. In order to establish this result, we use a novel approach
inspired by a theory due to McKenzie and Hawkins-Simon. Moreover, we obtain a
closed form solution for the price of each asset at which investors trade at
equilibrium. We conduct a comparative statics analysis which shows, among other
sensitivities, how equilibrium prices respond to the level of interactions
between investors.",Econometrica,http://arxiv.org/abs/1806.01924v1,econ.EM
167,An alternative quality of life ranking on the basis of remittances,"Remittances provide an essential connection between people working abroad and
their home countries. This paper considers these transfers as a measure of
preferences revealed by the workers, underlying a ranking of countries around
the world. In particular, we use the World Bank bilateral remittances data of
international salaries and interpersonal transfers between 2010 and 2015 to
compare European countries. The suggested least squares method has favourable
axiomatic properties. Our ranking reveals a crucial aspect of quality of life
and may become an alternative to various composite indices.",Econometrica,http://arxiv.org/abs/1809.03977v6,q-fin.EC
282,"General equilibrium in a heterogeneous-agent incomplete-market economy
  with many consumption goods and a risk-free bond","We study a pure-exchange incomplete-market economy with heterogeneous agents.
In each period, the agents choose how much to save (i.e., invest in a risk-free
bond), how much to consume, and which bundle of goods to consume while their
endowments are fluctuating. We focus on a competitive stationary equilibrium
(CSE) in which the wealth distribution is invariant, the agents maximize their
expected discounted utility, and both the prices of consumption goods and the
interest rate are market-clearing. Our main contribution is to extend some
general equilibrium results to an incomplete-market Bewley-type economy with
many consumption goods. Under mild conditions on the agents' preferences, we
show that the aggregate demand for goods depends only on their relative prices
and that the aggregate demand for savings is homogeneous of degree in prices,
and we prove the existence of a CSE. When the agents' preferences can be
represented by a CES (constant elasticity of substitution) utility function
with an elasticity of substitution that is higher than or equal to one, we
prove that the CSE is unique. Under the same preferences, we show that a higher
inequality of endowments does not change the equilibrium prices of goods, and
decreases the equilibrium interest rate. Our results shed light on the impact
of market incompleteness on the properties of general equilibrium models.",Econometrica,http://arxiv.org/abs/1906.06810v2,cs.GT
416,"On the relation between Sion's minimax theorem and existence of Nash
  equilibrium in asymmetric multi-players zero-sum game with only one alien","We consider the relation between Sion's minimax theorem for a continuous
function and a Nash equilibrium in an asymmetric multi-players zero-sum game in
which only one player is different from other players, and the game is
symmetric for the other players. Then,
  1. The existence of a Nash equilibrium, which is symmetric for players other
than one player, implies Sion's minimax theorem for pairs of this player and
one of other players with symmetry for the other players.
  2. Sion's minimax theorem for pairs of one player and one of other players
with symmetry for the other players implies the existence of a Nash equilibrium
which is symmetric for the other players.
  Thus, they are equivalent.",Econometrica,http://arxiv.org/abs/1806.07253v1,stat.ME
455,Empirical bias and efficiency of alpha-auctions: experimental evidence,"We experimentally evaluate the comparative performance of the winner-bid,
average-bid, and loser-bid auctions for the dissolution of a partnership. The
analysis of these auctions based on the empirical equilibrium refinement of
Velez and Brown (2020) arXiv:1907.12408 reveals that as long as behavior
satisfies weak payoff monotonicity, winner-bid and loser-bid auctions
necessarily exhibit a form of bias when empirical distributions of play
approximate best responses (Velez and Brown, 2020 arXiv:1905.08234). We find
support for both weak payoff monotonicity and the form of bias predicted by the
theory for these two auctions. Consistently with the theory, the average-bid
auction does not exhibit this form of bias. It has lower efficiency that the
winner-bid auction, however.",Econometrica,http://arxiv.org/abs/1905.03876v2,stat.AP
503,What are we weighting for? A mechanistic model for probability weighting,"Behavioural economics provides labels for patterns in human economic
behaviour. Probability weighting is one such label. It expresses a mismatch
between probabilities used in a formal model of a decision (i.e. model
parameters) and probabilities inferred from real people's decisions (the same
parameters estimated empirically). The inferred probabilities are called
""decision weights."" It is considered a robust experimental finding that
decision weights are higher than probabilities for rare events, and
(necessarily, through normalisation) lower than probabilities for common
events. Typically this is presented as a cognitive bias, i.e. an error of
judgement by the person. Here we point out that the same observation can be
described differently: broadly speaking, probability weighting means that a
decision maker has greater uncertainty about the world than the observer. We
offer a plausible mechanism whereby such differences in uncertainty arise
naturally: when a decision maker must estimate probabilities as frequencies in
a time series while the observer knows them a priori. This suggests an
alternative presentation of probability weighting as a principled response by a
decision maker to uncertainties unaccounted for in an observer's model.",Econometrica,http://arxiv.org/abs/2005.00056v1,econ.EM
402,"Price Competition with Geometric Brownian motion in Exchange Rate
  Uncertainty","We analyze an operational policy for a multinational manufacturer to hedge
against exchange rate uncertainties and competition. We consider a single
product and single period. Because of long-lead times, the capacity investment
must done before the selling season begins when the exchange rate between the
two countries is uncertain. we consider a duopoly competition in the foreign
country. We model the exchange rate as a random variable. We investigate the
impact of competition and exchange rate on optimal capacities and optimal
prices. We show how competition can impact the decision of the home
manufacturer to enter the foreign market.",Econometrica ,http://arxiv.org/abs/1804.08153v1,econ.EM
417,"Cluster-Robust Standard Errors for Linear Regression Models with Many
  Controls","It is common practice in empirical work to employ cluster-robust standard
errors when using the linear regression model to estimate some
structural/causal effect of interest. Researchers also often include a large
set of regressors in their model specification in order to control for observed
and unobserved confounders. In this paper we develop inference methods for
linear regression models with many controls and clustering. We show that
inference based on the usual cluster-robust standard errors by Liang and Zeger
(1986) is invalid in general when the number of controls is a non-vanishing
fraction of the sample size. We then propose a new clustered standard errors
formula that is robust to the inclusion of many controls and allows to carry
out valid inference in a variety of high-dimensional linear regression models,
including fixed effects panel data models and the semiparametric partially
linear model. Monte Carlo evidence supports our theoretical results and shows
that our proposed variance estimator performs well in finite samples. The
proposed method is also illustrated with an empirical application that
re-visits Donohue III and Levitt's (2001) study of the impact of abortion on
crime.",Econometrica ,http://arxiv.org/abs/1806.07314v3,stat.ME
495,"Bayesian shrinkage in mixture of experts models: Identifying robust
  determinants of class membership","A method for implicit variable selection in mixture of experts frameworks is
proposed. We introduce a prior structure where information is taken from a set
of independent covariates. Robust class membership predictors are identified
using a normal gamma prior. The resulting model setup is used in a finite
mixture of Bernoulli distributions to find homogenous clusters of women in
Mozambique based on their information sources on HIV. Fully Bayesian inference
is carried out via the implementation of a Gibbs sampler.",Econometrica ,http://arxiv.org/abs/1809.04853v2,econ.EM
353,Overconfidence and Prejudice,"We explore conclusions a person draws from observing society when he allows
for the possibility that individuals' outcomes are affected by group-level
discrimination. Injecting a single non-classical assumption, that the agent is
overconfident about himself, we explain key observed patterns in social
beliefs, and make a number of additional predictions. First, the agent believes
in discrimination against any group he is in more than an outsider does,
capturing widely observed self-centered views of discrimination. Second, the
more group memberships the agent shares with an individual, the more positively
he evaluates the individual. This explains one of the most basic facts about
social judgments, in-group bias, as well as ""legitimizing myths"" that justify
an arbitrary social hierarchy through the perceived superiority of the
privileged group. Third, biases are sensitive to how the agent divides society
into groups when evaluating outcomes. This provides a reason why some
ethnically charged questions should not be asked, as well as a potential
channel for why nation-building policies might be effective. Fourth, giving the
agent more accurate information about himself increases all his biases. Fifth,
the agent is prone to substitute biases, implying that the introduction of a
new outsider group to focus on creates biases against the new group but lowers
biases vis a vis other groups. Sixth, there is a tendency for the agent to
agree more with those in the same groups. As a microfoundation for our model,
we provide an explanation for why an overconfident agent might allow for
potential discrimination in evaluating outcomes, even when he initially did not
conceive of this possibility.",Econometrics and Statistics ,http://arxiv.org/abs/1909.08497v1,econ.EM
237,Constructing energy accounts for WIOD 2016 release,"Most of today's products and services are made in global supply chains. As a
result, a consumption of goods and services in one country is associated with
various environmental pressures all over the world due to international trade.
Advances in global multi-region input-output models have allowed researchers to
draw detailed, international supply-chain connections between production and
consumptions activities and associated environmental impacts. Due to a limited
data availability there is little evidence about the more recent trends in
global energy footprint. In order to expand the analytical potential of the
existing WIOD 2016 dataset to a wider range of research themes, this paper
develops energy accounts and presents the global energy footprint trends for
the period 2000-2014.",Econometrics Journal,http://arxiv.org/abs/1810.07112v1,econ.EM
80,"Population Growth and Economic Development in Bangladesh: Revisited
  Malthus","Bangladesh is the 2nd largest growing country in the world in 2016 with 7.1%
GDP growth. This study undertakes an econometric analysis to examine the
relationship between population growth and economic development. This result
indicates population growth adversely related to per capita GDP growth, which
means rapid population growth is a real problem for the development of
Bangladesh.",Econometrics Journal,http://arxiv.org/abs/1812.09393v2,econ.EM
279,"The interplay between migrants and natives as a determinant of migrants'
  assimilation: A coevolutionary approach","We study the migrants' assimilation, which we conceptualize as forming human
capital productive on the labor market of a developed host country, and we link
the observed frequent lack of assimilation with the relative deprivation that
the migrants start to feel when they move in social space towards the natives.
In turn, we presume that the native population is heterogenous and consists of
high-skill and low-skill workers. The presence of assimilated migrants might
shape the comparison group of the natives, influencing the relative deprivation
of the low-skill workers and, in consequence, the choice to form human capital
and become highly skilled. To analyse this interrelation between assimilation
choices of migrants and skill formation of natives, we construct a
coevolutionary model of the open-to-migration economy. Showing that the economy
might end up in a non-assimilation equilibrium, we discuss welfare consequences
of an assimilation policy funded from tax levied on the native population. We
identify conditions under which such costly policy can bring the migrants to
assimilation and at the same time increase the welfare of the natives, even
though the incomes of the former take a beating.",Econometrics Journal ,http://arxiv.org/abs/1906.02657v1,econ.EM
27,"Can GDP measurement be further improved? Data revision and
  reconciliation","Recent years have seen many attempts to combine expenditure-side estimates of
U.S. real output (GDE) growth with income-side estimates (GDI) to improve
estimates of real GDP growth. We show how to incorporate information from
multiple releases of noisy data to provide more precise estimates while
avoiding some of the identifying assumptions required in earlier work. This
relies on a new insight: using multiple data releases allows us to distinguish
news and noise measurement errors in situations where a single vintage does
not.
  Our new measure, GDP++, fits the data better than GDP+, the GDP growth
measure of Aruoba et al. (2016) published by the Federal Reserve Bank of
Philadephia. Historical decompositions show that GDE releases are more
informative than GDI, while the use of multiple data releases is particularly
important in the quarters leading up to the Great Recession.",Economic Alternatives Journal,http://arxiv.org/abs/1808.04970v1,econ.GN
28,"When Do Households Invest in Solar Photovoltaics? An Application of
  Prospect Theory","While investments in renewable energy sources (RES) are incentivized around
the world, the policy tools that do so are still poorly understood, leading to
costly misadjustments in many cases. As a case study, the deployment dynamics
of residential solar photovoltaics (PV) invoked by the German feed-in tariff
legislation are investigated. Here we report a model showing that the question
of when people invest in residential PV systems is found to be not only
determined by profitability, but also by profitability's change compared to the
status quo. This finding is interpreted in the light of loss aversion, a
concept developed in Kahneman and Tversky's Prospect Theory. The model is able
to reproduce most of the dynamics of the uptake with only a few financial and
behavioral assumptions",Economic Alternatives Journal,http://arxiv.org/abs/1808.05572v1,econ.GN
30,Quantifying the Computational Advantage of Forward Orthogonal Deviations,"Under suitable conditions, one-step generalized method of moments (GMM) based
on the first-difference (FD) transformation is numerically equal to one-step
GMM based on the forward orthogonal deviations (FOD) transformation. However,
when the number of time periods ($T$) is not small, the FOD transformation
requires less computational work. This paper shows that the computational
complexity of the FD and FOD transformations increases with the number of
individuals ($N$) linearly, but the computational complexity of the FOD
transformation increases with $T$ at the rate $T^{4}$ increases, while the
computational complexity of the FD transformation increases at the rate $T^{6}$
increases. Simulations illustrate that calculations exploiting the FOD
transformation are performed orders of magnitude faster than those using the FD
transformation. The results in the paper indicate that, when one-step GMM based
on the FD and FOD transformations are the same, Monte Carlo experiments can be
conducted much faster if the FOD version of the estimator is used.",Economic Alternatives Journal,http://arxiv.org/abs/1808.05995v1,econ.GN
201,Fair and Efficient Division among Families,"Is efficiency consistent with fairness? Our approach to this question
concerns the case where multiple individuals with diverse preferences are bound
to consume the same bundle. Families are our lead example: the father, mother
and children get to consume the same garden, kitchen, and vacations. We adapt
each of the three most popular principles of fairness: envy-freeness,
egalitarian-equivalence and the fair-share guarantee, in three different ways
to the world of families. For any given criterion of fairness, an allocation is
*unanimous-fair* if it is fair according to every individual member of each
family, it is *aggregate-fair* if it is fair according to a particular
aggregation of all family members' preferences, and it is *collective-fair* if
it is fair according to the family's -- typically incomplete -- preferences,
that rank a bundle above another bundle if and only if each member of the
family ranks the first bundle above the second. While efficiency is generally
incompatible with unanimous egalitarian equivalence, and incompatible with
unanimous envy-freeness in economies with three or more families, unanimously
envy-free efficient allocations always exist in economies with just two
families. The unanimous fair share guarantee is easy to achieve: Under generic
conditions the set of efficient allocations with the fair share guarantee
contains some collectively envy-free and some collectively egalitarian
equivalent allocations. We use modified versions of the traditional market
equilibrium approach and lexicographic optimization to establish our results.",Economic Analysis ,http://arxiv.org/abs/1811.06684v3,econ.GN
286,"Existence and Uniqueness of Solutions to the Stochastic Bellman Equation
  with Unbounded Shock","In this paper we develop a general framework to analyze stochastic dynamic
problems with unbounded utility functions and correlated and unbounded shocks.
We obtain new results of the existence and uniqueness of solutions to the
Bellman equation through a general fixed point theorem that generalizes known
results for Banach contractions and local contractions. We study an endogenous
growth model as well as the Lucas asset pricing model in an exchange economy,
significantly expanding their range of applicability.",Economic and Political Weekly,http://arxiv.org/abs/1907.07343v1,econ.GN
98,"The Impact of Sex Education on Sexual Activity, Pregnancy, and Abortion","The purpose of this study is to find a relation between sex education and
abortion in the United States. Accordingly, multivariate logistic regression is
employed to study the relation between abortion and frequency of sex,
pre-marriage sex, and pregnancy by rape. The finding shows the odds of abortion
among those who have had premarital sex, more frequent sex before marriage, and
been the victim of rape is higher than those who have not experienced any of
these incidents. The output identified with one unit increase in pre-marriage
sex the log-odds of abortion increases by 0.47. Similarly, it shows by one unit
increase in the frequency of sex, the log-odds of abortion increases by 0.39.
Also, for every additional pregnancy by rape, there is an expectation of a 3.17
increase in the log-odds of abortion. The findings of this study also suggests
abortion is associated with sex education. Despite previous findings, this
study shows the factors of age, having children, and social standing is not
considered a burden to parents and thereby do not have a causal relation to
abortion.",Economic Archive ,http://arxiv.org/abs/1903.08307v1,econ.GN
145,Uncertainty and Robustness of Surplus Extraction,"This paper studies a robust version of the classic surplus extraction
problem, in which the designer knows only that the beliefs of each type belong
to some set, and designs mechanisms that are suitable for all possible beliefs
in that set. We derive necessary and sufficient conditions for full extraction
in this setting, and show that these are natural set-valued analogues of the
classic convex independence condition identified by Cremer and McLean (1985,
1988). We show that full extraction is neither generically possible nor
generically impossible, in contrast to the standard setting in which full
extraction is generic. When full extraction fails, we show that natural
additional conditions can restrict both the nature of the contracts a designer
can offer and the surplus the designer can obtain.","Economic Computation and Economic Cybernetics Studies and
Research",http://arxiv.org/abs/1811.01320v2,econ.GN
172,"Influence of introducing high speed railways on intercity travel
  behavior in Vietnam","It is one of hottest topics in Vietnam whether to construct a High Speed Rail
(HSR) system or not in near future. To analyze the impacts of introducing the
HSR on the intercity travel behavior, this research develops an integrated
intercity demand forecasting model to represent trip generation and frequency,
destination choice and travel mode choice behavior. For this purpose, a
comprehensive questionnaire survey with both Revealed Preference (RP)
information (an inter-city trip diary) and Stated Preference (SP) information
was conducted in Hanoi in 2011. In the SP part, not only HSR, but also Low Cost
Carrier is included in the choice set, together with other existing inter-city
travel modes. To make full use of the advantages of each type of data and to
overcome their disadvantages, RP and SP data are combined to describe the
destination choice and mode choice behavior, while trip generation and
frequency are represented by using the RP data. The model estimation results
show the inter-relationship between trip generation and frequency, destination
choice and travel mode choice, and confirm that those components should not
dealt with separately.",Economic Theory,http://arxiv.org/abs/1810.00155v1,econ.EM
214,Herding driven by the desire to differ,"Observational learning often involves congestion: an agent gets lower payoff
from an action when more predecessors have taken that action. This preference
to act differently from previous agents may paradoxically increase all but one
agent's probability of matching the actions of the predecessors. The reason is
that when previous agents conform to their predecessors despite the preference
to differ, their actions become more informative. The desire to match
predecessors' actions may reduce herding by a similar reasoning.",Economic Theory,http://arxiv.org/abs/1904.00454v1,econ.GN
243,"The Case for Formation of ISP-Content Providers Consortiums by Nash
  Bargaining for Internet Content Delivery","The formation of consortiums of a broadband access Internet Service Provider
(ISP) and multiple Content Providers (CP) is considered for large-scale content
caching. The consortium members share costs from operations and investments in
the supporting infrastructure. Correspondingly, the model's cost function
includes marginal and fixed costs; the latter has been important in determining
industry structure. Also, if Net Neutrality regulations permit, additional
network capacity on the ISP's last mile may be contracted by the CPs. The
number of subscribers is determined by a combination of users' price elasticity
of demand and Quality of Experience. The profit generated by a coalition after
pricing and design optimization determines the game's characteristic function.
Coalition formation is by a bargaining procedure due to Okada (1996) based on
random proposers in a non-cooperative, multi-player game-theoretic framework. A
necessary and sufficient condition is obtained for the Grand Coalition to form,
which bounds subsidies from large to small contributors. Caching is generally
supported even under Net Neutrality regulations. The Grand Coalition's profit
matches upper bounds. Numerical results illustrate the analytic results.",Economic Theory,http://arxiv.org/abs/1810.10660v1,stat.ME
319,"Academic Engagement and Commercialization in an Institutional Transition
  Environment: Evidence from Shanghai Maritime University","Does academic engagement accelerate or crowd out the commercialization of
university knowledge? Research on this topic seldom considers the impact of the
institutional environment, especially when a formal institution for encouraging
the commercial activities of scholars has not yet been established. This study
investigates this question in the context of China, which is in the
institutional transition stage. Based on a survey of scholars from Shanghai
Maritime University, we demonstrate that academic engagement has a positive
impact on commercialization and that this impact is greater for risk-averse
scholars than for other risk-seeking scholars. Our results suggest that in an
institutional transition environment, the government should consider
encouraging academic engagement to stimulate the commercialization activities
of conservative scholars.",Economic Theory,http://arxiv.org/abs/1901.07725v1,econ.TH
348,"Revisiting the thermal and superthermal two-class distribution of
  incomes: A critical perspective","This paper offers a two-pronged critique of the empirical investigation of
the income distribution performed by physicists over the past decade. Their
finding rely on the graphical analysis of the observed distribution of
normalized incomes. Two central observations lead to the conclusion that the
majority of incomes are exponentially distributed, but neither each individual
piece of evidence nor their concurrent observation robustly proves that the
thermal and superthermal mixture fits the observed distribution of incomes
better than reasonable alternatives. A formal analysis using popular measures
of fit shows that while an exponential distribution with a power-law tail
provides a better fit of the IRS income data than the log-normal distribution
(often assumed by economists), the thermal and superthermal mixture's fit can
be improved upon further by adding a log-normal component. The economic
implications of the thermal and superthermal distribution of incomes, and the
expanded mixture are explored in the paper.",Economic Theory,http://arxiv.org/abs/1804.06341v1,econ.TH
309,"Digital Economy And Society. A Cross Country Comparison Of Hungary And
  Ukraine","We live in the Digital Age in which both economy and society have been
transforming significantly. The Internet and the connected digital devices are
inseparable parts of our daily life and the engine of the economic growth. In
this paper, first I analyzed the status of digital economy and society in
Hungary, then compared it with Ukraine and made conclusions regarding the
future development tendencies. Using secondary data provided by the European
Commission I investigated the five components of the Digital Economy and
Society Index of Hungary. I performed cross country analysis to find out the
significant differences between Ukraine and Hungary in terms of access to the
Internet and device use including smartphones, computers and tablets. Based on
my findings, I concluded that Hungary is more developed in terms of the
significant parameters of the digital economy and society than Ukraine, but
even Hungary is an emerging digital nation. Considering the high growth rate of
Internet, tablet and smartphone penetration in both countries, I expect faster
progress in the development of the digital economy and society in Hungary and
Ukraine.",Economic Theory ,http://arxiv.org/abs/1901.00283v1,econ.EM
429,Alternative Axioms in Group Identification Problems,"Kasher and Rubinstein (1997) introduced the problem of classifying the
members of a group in terms of the opinions of their potential members. This
involves a finite set of agents $N = \{1,2,\ldots,n\}$, each one having an
opinion about which agents should be classified as belonging to a specific
subgroup J. A Collective Identity Function (CIF) aggregates those opinions
yielding the class of members deemed $J$. Kasher and Rubinstein postulate
axioms, intended to ensure fair and socially desirable outcomes, characterizing
different CIFs. We follow their lead by replacing their liberal axiom by other
axioms, constraining the spheres of influence of the agents. We show that some
of them lead to different CIFs while in another instance we find an
impossibility result.",Economic Theory ,http://arxiv.org/abs/1912.05961v1,math.ST
47,"Ordered Kripke Model, Permissibility, and Convergence of Probabilistic
  Kripke Model","We define a modification of the standard Kripke model, called the ordered
Kripke model, by introducing a linear order on the set of accessible states of
each state. We first show this model can be used to describe the lexicographic
belief hierarchy in epistemic game theory, and perfect rationalizability can be
characterized within this model. Then we show that each ordered Kripke model is
the limit of a sequence of standard probabilistic Kripke models with a modified
(common) belief operator, in the senses of structure and the
(epsilon-)permissibilities characterized within them.",Economic Theory ,http://arxiv.org/abs/1801.08767v1,econ.EM
104,"A study of strategy to the remove and ease TBT for increasing export in
  GCC6 countries","The last technical barriers to trade(TBT) between countries are Non-Tariff
Barriers(NTBs), meaning all trade barriers are possible other than Tariff
Barriers. And the most typical examples are (TBT), which refer to measure
Technical Regulation, Standards, Procedure for Conformity Assessment, Test &
Certification etc. Therefore, in order to eliminate TBT, WTO has made all
membership countries automatically enter into an agreement on TBT",Economic Theory ,http://arxiv.org/abs/1803.03394v3,econ.TH
112,"Schooling Choice, Labour Market Matching, and Wages","We develop inference for a two-sided matching model where the characteristics
of agents on one side of the market are endogenous due to pre-matching
investments. The model can be used to measure the impact of frictions in labour
markets using a single cross-section of matched employer-employee data. The
observed matching of workers to firms is the outcome of a discrete, two-sided
matching process where firms with heterogeneous preferences over education
sequentially choose workers according to an index correlated with worker
preferences over firms. The distribution of education arises in equilibrium
from a Bayesian game: workers, knowing the distribution of worker and firm
types, invest in education prior to the matching process. Although the observed
matching exhibits strong cross-sectional dependence due to the matching
process, we propose an asymptotically valid inference procedure that combines
discrete choice methods with simulation.",Economic Theory ,http://arxiv.org/abs/1803.09020v6,econ.EM
182,Identifying the Effect of Persuasion,"This paper examines a commonly used measure of persuasion whose precise
interpretation has been lacking in the literature. Through the lens of the
potential outcome framework, we first define the persuasion rate at the
population level by a proper conditional probability of the agent taking an
action of interest with a persuasive message given that the agent does not take
the action without the conveyed message. We then formally study identification
under empirically relevant data scenarios and show that the commonly adopted
measure of persuasion does not estimate the causal rate of persuasion on any
subpopulation in general. As a whole, the persuasion rate is partially
identified with a binary instrument. The sharp lower bound is easy to estimate
and provides a robust measure of persuasion. When the population of interest is
limited to the group of compliers, a local persuasion rate can be
point-identified only under the most favorable data scenario. We further
establish that a continuous instrument opens up the possibility of point
identification for a policy-relevant subpopulation. We provide practical
methods for causal inference and revisit the literature to illustrate that the
standard measure tends to overstate the persuasive effects while masking
underlying heterogeneity.",Economic Theory ,http://arxiv.org/abs/1812.02276v4,econ.TH
